                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67431,                 1.0206,                0.43004,                0.90791,                0.89958,                0.92379,                0.95871,                0.80456,                0.90075,                0.91655,                0.95376,                0.69523,                0.63666,                0.84319,                 0.4368,                0.91634,              0.0006629,              0.0006629,              0.0006629
                      2,                0.72976,                 1.0886,                0.47361,                0.93087,                0.90263,                0.91926,                0.95798,                0.79017,                0.90207,                0.91337,                0.95233,                0.67231,                0.67637,                0.88566,                0.46146,                0.92431,              0.0011979,              0.0011979,              0.0011979
                      3,                0.74256,                 1.0999,                0.48114,                0.93853,                0.88858,                0.91846,                0.95159,                0.78195,                0.88465,                0.91439,                0.94634,                0.65622,                0.68499,                0.86964,                0.50244,                0.93856,               0.001601,               0.001601,               0.001601
                      4,                0.74011,                 1.1036,                0.47445,                0.93368,                0.89259,                0.92515,                0.95543,                0.78565,                0.89468,                0.91968,                0.95082,                0.66124,                0.69532,                0.92452,                0.46491,                0.93398,               0.001406,               0.001406,               0.001406
                      5,                0.73151,                 1.0865,                0.47017,                 0.9318,                0.89224,                0.92511,                0.95568,                0.79597,                0.88844,                0.92117,                0.94986,                0.67996,                0.66581,                0.88148,                0.45219,                0.92183,               0.001406,               0.001406,               0.001406
                      6,                0.71068,                 1.0537,                0.45843,                0.92595,                0.90798,                0.92672,                0.96125,                0.80965,                0.90806,                 0.9225,                0.95743,                0.69754,                0.63451,                 0.8185,                0.42977,                0.91783,               0.001208,               0.001208,               0.001208
                      7,                0.69725,                 1.0312,                 0.4424,                0.92036,                0.90927,                0.93172,                0.96324,                0.81677,                0.90753,                0.92622,                0.95815,                0.69293,                 0.6342,                0.84131,                 0.4101,                0.91394,                0.00101,                0.00101,                0.00101
                      8,                0.68711,                 1.0203,                0.43459,                0.91572,                0.90457,                0.93357,                 0.9646,                0.82159,                0.90251,                0.92701,                0.95907,                0.69251,                0.61548,                0.79342,                0.40338,                0.90432,               0.000812,               0.000812,               0.000812
                      9,                0.66317,                0.99238,                0.41804,                0.90721,                0.91319,                 0.9336,                0.96614,                 0.8285,                0.90971,                0.93004,                0.96164,                0.71026,                0.60338,                0.78666,                0.38761,                0.90173,               0.000614,               0.000614,               0.000614
                     10,                0.64629,                0.96724,                0.40688,                0.90107,                 0.9128,                0.93642,                0.96823,                0.83581,                0.91236,                0.93219,                0.96406,                0.71135,                0.58357,                 0.7606,                0.38022,                0.89308,               0.000416,               0.000416,               0.000416
